feature,importance
age__10_20_,0.028461922
weight__100_125_,0.025104465
age__60_70_,0.022941062
diabetesmed_yes,0.022735434
payer_code_mc,0.02212518
glipizide_up,0.020970618
race_caucasian,0.020631004
age__70_80_,0.018908134
change_no,0.018779539
insulin_no,0.018413654
max_glu_serum_norm,0.018057225
diag_3_428.0,0.017509561
num_lab_procedures,0.01680433
time_in_hospital,0.016128963
diag_3_250.02,0.015824167
weight__50_75_,0.015452153
medical_specialty_emergency_trauma,0.015289373
race_asian,0.014628612
age_numeric,0.014489384
age__40_50_,0.014065835
total_prior_visits,0.013989049
weight__75_100_,0.013922063
diag_2_414.01,0.013883269
age__80_90_,0.013806988
age__50_60_,0.013561106
metformin_steady,0.013497612
glyburide_up,0.013459861
diag_2_250.03,0.013399837
race_hispanic,0.013362983
num_medications,0.01309718
age_group_senior,0.012968546
medication_changed,0.012950342
diag_1_428.0,0.0129006
high_risk_patient,0.012852211
on_diabetes_med,0.012773305
glyburide_no,0.012672004
diag_1_414.01,0.012589773
number_diagnoses,0.01242403
age__30_40_,0.012351909
total_medications_changed,0.012277755
number_emergency,0.012164755
diag_1_250.03,0.012104638
max_glu_serum__300,0.011998835
admission_type_id,0.011923851
age_group_young,0.011872437
diag_3_414.01,0.011684435
diag_1_250.02,0.011654561
age__20_30_,0.0115815485
number_inpatient,0.011354963
medical_specialty_surgery,0.01120016
payer_code_hm,0.011145006
diag_3_250.03,0.011144383
num_procedures,0.011136071
weight__25_50_,0.011105647
number_outpatient,0.011017657
discharge_disposition_id,0.010895125
age_group_middle,0.010712867
glipizide_no,0.010604977
gender_male,0.010387594
metformin_up,0.010335912
a1cresult_norm,0.010227855
glyburide_steady,0.010185379
admission_source_id,0.010057476
glipizide_steady,0.010039274
lab_procedures_per_day,0.0100112595
payer_code_sp,0.0096395835
race_other,0.00939363
insulin_steady,0.009301818
metformin_no,0.009185999
payer_code_md,0.008812444
diag_2_250.02,0.00829208
medical_specialty_internalmedicine,0.007698637
insulin_up,0.0071909474
a1cresult__8,0.007021616
diag_2_428.0,0.0068555456
age__90_100_,0.0
diagnosis_count,0.0
